/* DATA DESCRIPTION:
Citation:	Channell, James E T; Hodell, David A; Xuang, Chuang; Mazaud, Alain; Stoner, Joseph S (2008): Susceptibility of IODP Site 303-U1308 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.808946, 
	In supplement to: Channell, JET et al. (2008): Age calibrated relative paleointensity for the last 1.5 Myr from IODP Site U1308 (North Atlantic). Earth and Planetary Science Letters, 274, 59-71, https://doi.org/10.1016/j.epsl.2008.07.005
Related to:	Channell, James E T; Hodell, David A (2013): Magnetic signatures of Heinrich-like detrital layers in the Quaternary of the North Atlantic. Earth and Planetary Science Letters, 369-370, 260-270, https://doi.org/10.1016/j.epsl.2013.03.034
	Channell, James E T; Hodell, David A; Romero, Oscar E; Hillaire-Marcel, Claude; de Vernal, Anne; Stoner, Joseph S; Mazaud, Alain; Röhl, Ursula (2012): A 750-kyr detrital-layer stratigraphy for the North Atlantic (IODP Sites U1302–U1303, Orphan Knoll, Labrador Sea). Earth and Planetary Science Letters, 317-318, 218-230, https://doi.org/10.1016/j.epsl.2011.11.029
	Hodell, David A; Channell, James E T; Curtis, Jason H; Romero, Oscar E; Röhl, Ursula (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 49.877760 * LONGITUDE: -24.238110
	DATE/TIME START: 2004-10-30T00:00:00 * DATE/TIME END: 2004-10-30T00:00:00
	MINIMUM ELEVATION: -3871.0 m * MAXIMUM ELEVATION: -3871.0 m
Event(s):	303-U1308 * LATITUDE: 49.877760 * LONGITUDE: -24.238110 * DATE/TIME: 2004-10-30T00:00:00 * ELEVATION: -3871.0 m * PENETRATION: 1253.5 m * RECOVERY: 1246 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Exp303 (North Atlantic Climate 1) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 134 cores; 1246.0 m cored; 7.5 m drilled; 95.4 % recovery
Parameter(s):	Depth, composite [mcd] (Depth comp) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html) * METHOD/DEVICE: Intercore correlation
	Magnetic susceptibility, volume [10**-6 SI] (kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
	ARM Susceptibility/susceptibility ratio [A/m] (ARM/kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	32289 data points
*/
Depth comp [mcd]	kappa [10**-6 SI]	ARM/kappa [A/m]
28.82	683.7	2.202
28.83	674.7	2.265
28.84	676.4	2.289
28.85	684.7	2.283
28.86	689.6	2.292
28.87	698.7	2.291
28.88	711.1	2.283
28.89	724.9	2.264
28.90	735.0	2.257
28.91	737.5	2.266
28.92	747.3	2.247
28.93	776.9	2.158
28.94	813.4	2.052
28.95	845.0	1.942
28.96	884.8	1.798
28.97	905.3	1.663
29.03	784.2	1.032
29.04	792.1	1.234
29.05	793.6	1.390
29.06	811.5	1.471
29.07	817.8	1.540
29.08	809.4	1.602
29.09	784.6	1.659
29.10	738.2	1.726
29.11	668.5	1.827
29.12	573.2	1.999
29.13	478.1	2.234
29.14	399.1	2.494
29.15	342.3	2.753
29.16	306.6	2.951
29.17	283.8	3.117
29.18	278.1	3.154
29.19	285.0	3.086
29.20	300.3	2.954
29.21	322.4	2.783
29.22	350.6	2.581
29.23	376.4	2.404
29.24	392.5	2.286
29.25	381.8	2.284
29.26	332.5	2.494
29.27	261.7	2.929
29.28	198.2	3.487
29.29	148.6	4.160
29.30	111.3	4.966
29.31	96.5	5.211
29.32	112.5	4.156
29.33	185.6	2.424
29.34	344.1	1.300
29.35	473.4	0.956
29.36	382.4	1.209
29.37	229.7	2.068
29.38	157.2	3.118
29.39	138.9	3.655
29.40	143.9	3.668
29.41	157.4	3.497
29.42	174.7	3.295
29.43	196.5	3.057
29.44	215.8	2.888
29.45	226.6	2.840
29.46	237.3	2.796
29.47	242.4	2.789
29.48	247.0	2.768
29.49	253.0	2.712
29.50	253.8	2.664
29.51	253.3	2.580
29.52	261.1	2.397
29.53	279.7	2.103
29.54	309.6	1.794
29.55	351.3	1.488
29.56	387.9	1.263
29.57	416.5	1.122
29.58	438.9	1.042
29.59	457.3	1.028
29.60	475.9	1.035
29.61	490.1	1.051
29.62	493.2	1.075
29.63	484.9	1.114
29.64	472.5	1.160
29.65	455.3	1.214
29.66	429.9	1.292
29.67	392.1	1.416
29.68	348.6	1.579
29.69	292.9	1.845
29.70	218.9	2.400
29.71	158.2	3.177
29.72	125.5	3.766
29.73	95.3	4.617
29.74	65.3	6.273
29.75	44.1	8.556
29.76	31.6	10.966
29.77	25.5	12.528
29.78	21.4	13.836
29.79	18.9	14.610
29.80	17.5	14.811
29.81	19.6	12.437
29.82	27.6	8.525
29.83	43.9	5.300
29.84	63.5	3.694
29.85	62.8	3.799
29.86	49.5	4.926
29.87	41.9	5.964
29.88	41.4	6.192
29.89	42.8	6.168
29.90	47.4	5.723
29.91	54.1	5.204
29.92	59.7	4.883
29.93	64.5	4.716
29.94	70.6	4.520
29.95	78.4	4.264
29.96	86.3	4.105
29.97	97.3	3.902
29.98	116.1	3.508
29.99	139.2	3.178
30.00	164.9	2.926
30.01	189.7	2.768
30.02	215.0	2.642
30.03	236.6	2.549
30.04	255.2	2.501
30.05	267.8	2.486
30.06	245.2	2.768
30.07	226.1	3.001
30.08	214.4	3.142
30.09	206.6	3.200
30.10	184.2	3.493
30.11	143.6	4.322
30.12	107.2	5.511
30.13	90.1	6.219
30.14	85.2	6.316
30.15	83.5	6.290
30.16	84.6	6.182
30.17	92.0	5.736
30.18	99.1	5.479
30.19	107.3	5.225
30.20	114.5	5.091
30.21	117.8	5.100
30.22	117.9	5.245
30.23	118.1	5.319
30.24	113.4	5.561
30.25	103.1	6.069
30.26	94.2	6.566
30.27	91.7	6.633
30.28	89.8	6.715
30.29	87.7	6.850
30.30	87.6	6.860
30.31	87.5	6.861
30.32	86.7	6.959
30.33	86.0	7.018
30.34	86.7	6.956
30.35	90.4	6.702
30.36	96.2	6.375
30.37	104.5	6.012
30.38	111.7	5.785
30.39	117.2	5.680
30.40	122.3	5.630
30.41	125.2	5.660
30.42	128.6	5.650
30.43	129.4	5.730
30.44	131.2	5.768
30.45	131.8	5.834
30.46	137.1	5.702
30.47	142.1	5.588
30.48	146.9	5.509
30.49	151.2	5.436
30.50	160.2	5.209
30.51	170.6	4.949
30.52	178.8	4.780
30.53	184.1	4.697
30.54	189.5	4.616
30.55	197.9	4.471
30.56	205.6	4.352
30.57	210.6	4.321
30.58	220.6	4.192
30.59	236.9	3.979
30.60	253.0	3.814
30.61	265.4	3.731
30.62	275.0	3.683
30.63	282.9	3.634
30.64	288.8	3.594
30.65	291.7	3.558
30.66	292.9	3.509
30.67	294.0	3.428
30.68	295.7	3.307
30.69	305.5	3.085
30.70	319.5	2.824
30.71	326.9	2.652
30.72	315.8	2.650
30.73	282.1	2.860
30.74	241.4	3.238
30.75	209.1	3.642
30.76	184.7	4.028
30.77	167.7	4.330
30.78	157.8	4.508
30.79	154.2	4.530
30.80	154.7	4.452
30.81	152.0	4.498
30.82	146.6	4.611
30.83	138.9	4.814
30.84	130.4	5.050
30.85	123.9	5.213
30.86	121.9	5.195
30.87	121.6	5.126
30.88	120.6	5.148
30.89	120.8	5.119
30.90	121.3	5.119
30.91	122.8	5.095
30.92	124.3	5.056
30.93	127.0	4.967
30.94	130.1	4.868
30.95	133.2	4.775
30.96	136.8	4.666
30.97	139.1	4.589
30.98	138.2	4.566
30.99	134.4	4.580
31.00	124.8	4.713
31.01	111.0	4.961
31.02	101.3	5.087
31.03	102.6	4.777
31.04	108.6	4.469
31.05	114.0	4.410
31.06	120.2	4.391
31.07	129.6	4.285
31.08	135.2	4.294
31.09	130.6	4.579
31.10	116.7	5.191
31.11	105.9	5.695
31.12	105.5	5.620
31.13	110.1	5.251
31.14	108.8	5.177
31.15	99.8	5.563
31.16	95.4	5.770
31.17	95.7	5.775
31.18	97.4	5.752
31.19	99.7	5.695
31.20	101.8	5.702
31.21	103.7	5.695
31.22	106.5	5.664
31.23	110.9	5.552
31.24	117.2	5.360
31.25	123.6	5.207
31.26	127.2	5.178
31.27	128.2	5.216
31.28	127.2	5.313
31.29	125.6	5.424
31.30	123.7	5.507
31.31	120.2	5.647
31.32	115.5	5.830
31.33	113.0	5.917
31.34	112.4	5.857
31.35	113.4	5.720
31.36	112.6	5.645
31.37	110.8	5.557
31.43	101.2	3.997
31.44	103.0	4.587
31.45	103.9	4.959
31.46	108.0	5.048
31.47	112.8	5.034
31.48	117.1	5.044
31.49	121.3	4.993
31.50	125.9	4.952
31.51	130.6	4.868
31.52	135.7	4.760
31.53	140.0	4.684
31.54	142.4	4.640
31.55	143.6	4.620
31.56	146.8	4.537
31.57	153.5	4.371
31.58	161.7	4.212
31.59	169.0	4.105
31.60	176.6	4.013
31.61	184.2	3.944
31.62	191.6	3.884
31.63	199.0	3.826
31.64	205.6	3.778
31.65	207.4	3.794
31.66	205.8	3.858
31.67	202.0	3.944
31.68	196.6	4.064
31.69	201.8	3.999
31.70	221.1	3.705
31.71	238.4	3.542
31.72	245.3	3.555
31.73	250.3	3.604
31.74	261.3	3.559
31.75	274.6	3.488
31.76	284.6	3.479
31.77	293.3	3.479
31.78	302.5	3.456
31.79	309.9	3.446
31.80	314.9	3.456
31.81	321.5	3.432
31.82	332.6	3.370
31.83	343.6	3.314
31.84	355.9	3.256
31.85	370.7	3.180
31.86	384.7	3.116
31.87	387.9	3.136
31.88	387.8	3.169
31.89	396.2	3.134
31.90	408.8	3.068
31.91	420.5	3.019
31.92	427.3	3.000
31.93	421.2	3.067
31.94	408.8	3.173
31.95	406.6	3.189
31.96	422.0	3.091
31.97	446.7	2.954
31.98	469.9	2.872
31.99	490.5	2.823
32.00	514.0	2.772
32.01	535.7	2.735
32.02	550.6	2.730
32.03	557.5	2.741
32.04	555.3	2.779
32.05	542.6	2.839
32.06	526.6	2.897
32.07	514.7	2.920
32.08	509.2	2.897
32.09	509.2	2.843
32.10	508.5	2.803
32.11	496.6	2.814
32.12	482.6	2.828
32.13	472.6	2.803
32.14	467.8	2.746
32.15	465.2	2.680
32.16	467.0	2.604
32.17	470.8	2.536
32.18	470.3	2.485
32.19	455.3	2.517
32.20	429.6	2.598
32.21	414.1	2.622
32.22	415.0	2.556
32.23	416.4	2.486
32.24	410.2	2.482
32.25	406.8	2.453
32.26	408.2	2.407
32.27	416.0	2.338
32.28	429.2	2.243
32.29	434.4	2.205
32.30	406.7	2.354
32.31	370.6	2.597
32.32	351.7	2.758
32.33	346.9	2.840
32.34	350.2	2.856
32.35	370.9	2.765
32.36	399.1	2.645
32.37	408.5	2.658
32.38	404.5	2.759
32.39	402.4	2.829
32.40	408.7	2.829
32.41	423.9	2.769
32.42	441.0	2.713
32.43	448.7	2.706
32.44	451.9	2.719
32.45	459.3	2.698
32.46	467.8	2.649
32.47	461.7	2.667
32.48	434.8	2.780
32.49	400.4	2.912
32.50	357.6	3.106
32.51	306.7	3.417
32.52	263.5	3.730
32.53	230.6	3.989
32.54	206.2	4.192
32.55	183.6	4.434
32.56	164.8	4.714
32.57	153.9	4.835
32.58	148.3	4.846
32.59	143.8	4.858
32.60	136.2	5.000
32.61	131.1	5.061
32.62	127.6	5.083
32.63	127.6	5.004
32.64	126.1	4.983
32.65	124.3	5.015
32.66	127.1	4.865
32.67	129.7	4.768
32.68	129.8	4.763
32.69	125.2	4.958
32.70	123.1	5.044
32.71	126.4	4.950
32.72	134.1	4.722
32.73	143.2	4.511
32.74	153.8	4.313
32.75	164.8	4.178
32.76	173.3	4.119
32.77	179.4	4.106
32.78	182.5	4.158
32.79	184.8	4.189
32.80	186.5	4.192
32.81	186.2	4.211
32.82	180.4	4.304
32.83	171.6	4.423
32.84	154.8	4.694
32.85	142.8	4.770
32.86	142.1	4.457
32.87	144.6	4.049
32.93	196.9	2.744
32.94	201.2	3.199
32.95	197.9	3.607
32.96	186.7	4.066
32.97	178.7	4.375
32.98	175.6	4.495
32.99	170.6	4.627
33.00	172.6	4.543
33.01	181.1	4.315
33.02	187.5	4.156
33.03	183.4	4.234
33.04	177.0	4.373
33.05	174.8	4.428
33.06	176.0	4.412
33.07	180.1	4.354
33.08	187.5	4.235
33.09	194.6	4.147
33.10	200.6	4.085
33.11	204.9	4.071
33.12	206.9	4.081
33.13	207.3	4.110
33.14	205.0	4.169
33.15	202.6	4.206
33.16	202.3	4.186
33.17	198.7	4.212
33.18	193.8	4.292
33.19	189.6	4.360
33.20	189.5	4.336
33.21	191.6	4.290
33.22	194.8	4.232
33.23	198.3	4.169
33.24	202.6	4.093
33.25	206.6	4.039
33.26	209.3	4.000
33.27	211.9	3.961
33.28	216.5	3.901
33.29	218.3	3.868
33.30	214.7	3.944
33.31	215.1	3.938
33.32	217.2	3.888
33.33	217.3	3.885
33.34	215.9	3.899
33.35	213.4	3.922
33.36	211.0	3.930
33.37	209.8	3.906
33.38	209.0	3.873
33.39	216.9	3.685
33.40	236.0	3.365
33.41	243.4	3.253
33.42	226.9	3.489
33.43	204.0	3.844
33.44	174.7	4.360
33.45	143.6	5.095
33.46	121.9	5.648
33.47	111.2	5.834
33.48	103.0	5.955
33.49	97.7	5.993
33.50	93.8	6.003
33.51	92.0	5.928
33.52	90.7	5.875
33.53	91.6	5.706
33.54	93.3	5.547
33.55	93.5	5.455
33.56	92.9	5.436
33.57	90.4	5.504
33.58	87.9	5.602
33.59	84.6	5.730
33.60	81.1	5.890
33.61	78.1	6.016
33.62	81.0	5.709
33.63	86.7	5.364
33.64	91.2	5.236
33.65	92.4	5.307
33.66	93.5	5.374
33.67	94.9	5.374
33.68	95.7	5.408
33.69	96.4	5.423
33.70	98.1	5.380
33.71	100.7	5.314
33.72	105.2	5.159
33.73	109.1	5.043
33.74	112.4	4.966
33.75	114.1	4.955
33.76	120.5	4.755
33.77	123.2	4.672
33.78	123.9	4.645
33.79	124.6	4.600
33.80	125.4	4.550
33.81	127.4	4.438
33.82	128.7	4.374
33.83	128.6	4.377
33.84	128.6	4.360
33.85	130.0	4.311
33.86	133.8	4.189
33.87	136.7	4.119
33.88	138.0	4.078
33.89	135.8	4.163
33.90	133.5	4.236
33.91	135.7	4.166
33.92	141.2	4.004
33.93	145.0	3.917
33.94	145.0	3.935
33.95	146.7	3.924
33.96	155.2	3.741
33.97	168.0	3.515
33.98	181.2	3.330
33.99	190.1	3.239
34.00	199.0	3.183
34.01	209.8	3.103
34.02	221.3	3.020
34.03	234.1	2.953
34.04	247.1	2.878
34.05	254.1	2.888
34.06	257.4	2.930
34.07	268.1	2.869
34.08	281.7	2.792
34.09	285.4	2.791
34.10	277.8	2.886
34.11	265.1	3.005
34.12	253.9	3.068
34.13	237.9	3.180
34.14	216.2	3.407
34.15	199.5	3.578
34.16	184.7	3.756
34.17	172.1	3.942
34.18	170.3	3.911
34.19	170.8	3.855
34.20	171.6	3.822
34.21	173.3	3.800
34.22	176.3	3.777
34.23	181.3	3.743
34.24	190.5	3.654
34.25	203.1	3.526
34.26	216.6	3.399
34.27	227.2	3.341
34.28	234.5	3.344
34.29	241.6	3.338
34.30	250.0	3.298
34.31	259.3	3.247
34.32	265.3	3.230
34.33	267.7	3.239
34.34	263.5	3.300
34.35	252.4	3.416
34.36	240.7	3.488
34.37	226.6	3.527
34.43	155.8	3.370
34.44	143.0	4.006
34.45	132.1	4.529
34.46	127.4	4.792
34.47	126.0	4.907
34.48	128.3	4.879
34.49	134.4	4.731
34.50	141.5	4.565
34.51	147.8	4.456
34.52	154.5	4.343
34.53	161.9	4.223
34.54	171.0	4.071
34.55	179.4	3.950
34.56	185.3	3.866
34.57	186.2	3.860
34.58	184.6	3.868
34.59	177.0	3.990
34.60	168.7	4.141
34.61	181.9	3.855
34.62	209.6	3.453
34.63	228.6	3.332
34.64	240.6	3.322
34.65	250.0	3.328
34.66	260.2	3.294
34.67	269.4	3.256
34.68	223.7	3.528
34.69	231.6	3.451
34.70	240.6	3.364
34.71	248.8	3.303
34.72	259.4	3.227
34.73	271.0	3.153
34.74	290.7	3.017
34.75	317.6	2.817
34.76	343.2	2.643
34.77	354.6	2.559
34.78	333.2	2.670
34.79	284.9	2.990
34.80	267.5	3.016
34.81	318.9	2.451
34.82	405.4	1.984
34.83	468.8	1.834
34.84	498.3	1.851
34.85	508.4	1.898
34.86	507.3	1.937
34.87	494.6	1.977
34.88	466.6	2.052
34.89	438.0	2.117
34.90	448.3	2.018
34.91	485.8	1.847
34.92	514.9	1.757
34.93	513.4	1.797
34.94	491.0	1.904
34.95	474.3	1.992
34.96	462.6	2.059
34.97	451.5	2.126
34.98	438.1	2.209
34.99	425.4	2.286
35.00	415.1	2.331
35.01	404.2	2.363
35.02	394.7	2.388
35.03	385.6	2.405
35.04	371.6	2.448
35.05	360.6	2.481
35.06	355.5	2.482
35.07	336.3	2.586
35.08	300.7	2.825
35.09	271.8	3.015
35.10	251.0	3.144
35.11	231.7	3.276
35.12	210.9	3.456
35.13	189.2	3.706
35.14	166.6	4.059
35.15	148.6	4.399
35.16	135.9	4.660
35.17	128.7	4.783
35.18	126.2	4.758
35.19	126.1	4.665
35.20	127.8	4.521
35.21	131.0	4.335
35.22	138.4	4.030
35.23	148.8	3.681
35.24	156.1	3.414
35.29	273.0	1.915
35.30	291.2	2.132
35.31	285.9	2.444
35.32	267.5	2.810
35.33	264.0	2.980
35.34	279.6	2.922
35.35	301.4	2.835
35.36	321.6	2.790
35.37	340.4	2.762
35.38	358.7	2.712
35.39	366.4	2.709
35.40	351.0	2.836
35.41	316.6	3.104
35.42	282.4	3.373
35.43	260.6	3.511
35.44	258.7	3.419
35.45	270.3	3.208
35.46	285.8	3.034
35.47	299.7	2.952
35.48	325.8	2.800
35.49	361.9	2.632
35.50	393.8	2.528
35.51	415.6	2.473
35.52	430.9	2.426
35.53	435.6	2.383
35.54	430.5	2.341
35.55	420.7	2.276
35.56	396.6	2.243
35.57	344.1	2.359
35.58	295.4	2.502
35.59	275.3	2.538
35.60	260.7	2.699
35.61	238.6	3.118
35.62	220.4	3.592
35.63	210.5	3.928
35.64	207.8	4.088
35.65	213.8	4.091
35.66	226.1	4.024
35.67	238.0	3.981
35.68	243.8	3.989
35.69	239.6	4.080
35.70	228.7	4.210
35.71	221.2	4.204
35.72	213.5	4.202
35.73	201.4	4.331
35.74	197.0	4.377
35.75	200.6	4.322
35.76	205.8	4.312
35.77	211.2	4.321
35.78	213.7	4.351
35.79	213.8	4.385
35.80	219.1	4.301
35.81	230.5	4.143
35.82	244.3	4.033
35.83	260.7	3.953
35.84	281.4	3.858
35.85	299.0	3.833
35.86	304.7	3.927
35.87	302.1	4.076
35.88	292.0	4.252
35.89	278.7	4.436
35.90	275.6	4.432
35.91	289.6	4.157
35.92	313.2	3.819
35.93	325.7	3.681
35.94	326.9	3.698
35.95	331.9	3.696
35.96	334.4	3.698
35.97	329.6	3.766
35.98	320.3	3.845
35.99	309.6	3.888
36.00	297.1	3.900
36.01	284.8	3.856
36.02	276.1	3.751
36.03	275.9	3.535
36.04	280.4	3.298
36.05	285.7	3.105
36.06	291.9	2.962
36.07	302.6	2.824
36.08	315.4	2.710
36.09	334.2	2.572
36.10	355.2	2.448
36.11	366.9	2.404
36.12	373.5	2.395
36.13	382.2	2.354
36.14	386.2	2.330
36.15	383.0	2.329
36.16	369.7	2.372
36.17	352.6	2.438
36.18	334.4	2.510
36.19	302.5	2.725
36.20	271.0	2.996
36.21	257.6	3.142
36.22	263.4	3.091
36.23	275.9	2.988
36.24	296.7	2.846
36.25	335.9	2.589
36.26	400.6	2.265
36.27	498.5	1.911
36.28	631.5	1.576
36.29	697.7	1.488
36.30	612.6	1.756
36.31	524.1	2.129
36.32	489.8	2.350
36.33	479.4	2.480
36.34	471.0	2.588
36.35	464.6	2.678
36.36	463.6	2.732
36.37	460.9	2.792
36.38	450.4	2.890
36.39	439.7	2.978
36.40	447.5	2.932
36.41	482.0	2.738
36.42	508.5	2.629
36.43	513.8	2.646
36.44	516.9	2.679
36.45	523.5	2.684
36.46	518.8	2.737
36.47	513.1	2.777
36.48	521.0	2.726
36.49	528.9	2.666
36.50	528.7	2.652
36.51	523.1	2.662
36.52	520.4	2.646
36.53	523.1	2.599
36.54	526.9	2.542
36.55	541.5	2.446
36.56	564.8	2.318
36.57	586.4	2.194
36.58	601.8	2.088
36.59	607.0	2.000
36.60	603.4	1.937
36.61	590.4	1.911
36.62	570.4	1.926
36.63	548.5	1.966
36.64	525.2	2.024
36.65	497.1	2.128
36.66	455.3	2.335
36.67	414.4	2.596
36.68	384.8	2.834
36.69	343.0	3.217
36.70	305.1	3.608
36.71	280.0	3.886
36.72	257.7	4.115
36.73	237.8	4.271
36.79	168.8	3.528
36.80	175.6	3.863
36.81	178.1	4.164
36.82	179.4	4.356
36.83	182.9	4.412
36.84	186.5	4.406
36.85	188.6	4.397
36.86	188.6	4.412
36.87	184.3	4.515
36.88	177.3	4.679
36.89	174.7	4.718
36.90	175.3	4.701
36.91	177.6	4.643
36.92	181.2	4.565
36.93	183.6	4.516
36.94	184.4	4.510
36.95	188.0	4.438
36.96	194.7	4.286
36.97	198.8	4.210
36.98	194.8	4.271
36.99	180.6	4.577
37.00	178.6	4.587
37.01	201.0	4.126
37.02	219.9	3.886
37.03	224.2	3.969
37.04	220.3	4.164
37.05	216.5	4.330
37.06	215.8	4.401
37.07	215.3	4.447
37.08	211.5	4.551
37.09	212.6	4.539
37.10	217.1	4.457
37.11	219.6	4.429
37.12	222.3	4.409
37.13	225.3	4.384
37.14	226.7	4.389
37.15	229.3	4.374
37.16	236.4	4.294
37.17	245.4	4.199
37.18	252.3	4.163
37.19	258.2	4.138
37.20	265.2	4.104
37.21	274.0	4.044
37.22	283.9	3.975
37.23	291.2	3.935
37.24	292.1	3.976
37.25	291.3	4.012
37.26	290.3	4.051
37.27	291.8	4.056
37.28	300.2	3.977
37.29	314.1	3.856
37.30	327.6	3.774
37.31	338.1	3.739
37.32	348.8	3.718
37.33	360.2	3.684
37.34	373.0	3.632
37.35	387.4	3.574
37.36	399.3	3.531
37.37	407.5	3.509
37.38	410.6	3.514
37.39	409.6	3.534
37.40	411.1	3.533
37.41	413.9	3.522
37.42	421.3	3.484
37.43	437.7	3.394
37.44	454.2	3.331
37.45	467.3	3.302
37.46	483.9	3.262
37.47	501.2	3.214
37.48	515.2	3.196
37.49	526.6	3.183
37.50	542.6	3.141
37.51	556.7	3.115
37.52	568.9	3.097
37.53	587.3	3.047
37.54	608.4	2.979
37.55	623.6	2.934
37.56	627.5	2.928
37.57	644.4	2.851
37.58	699.9	2.614
37.59	754.8	2.404
37.60	745.6	2.393
37.61	721.9	2.406
37.62	713.8	2.352
37.63	718.8	2.248
37.64	732.3	2.128
37.65	719.0	2.087
37.66	679.6	2.130
37.67	654.1	2.136
37.68	630.5	2.145
37.69	596.8	2.190
37.70	560.6	2.242
37.71	546.5	2.198
37.72	627.7	1.822
37.73	832.3	1.320
37.74	945.5	1.127
37.75	771.7	1.348
37.76	536.4	1.907
37.77	422.5	2.403
37.78	392.9	2.591
37.79	399.1	2.582
37.80	419.0	2.501
37.81	437.2	2.437
37.82	450.5	2.382
37.83	455.4	2.357
37.84	447.6	2.398
37.85	442.8	2.452
37.86	446.8	2.475
37.87	447.0	2.530
37.88	451.2	2.568
37.89	463.9	2.568
37.90	478.7	2.557
37.91	488.3	2.589
37.92	495.3	2.628
37.93	498.5	2.672
37.94	492.6	2.740
37.95	470.3	2.870
37.96	437.4	3.051
37.97	410.0	3.193
37.98	393.7	3.269
37.99	390.6	3.268
38.00	399.9	3.193
38.01	419.8	3.071
38.02	451.4	2.895
38.03	474.6	2.806
38.04	487.7	2.788
38.05	500.9	2.780
38.06	512.5	2.776
38.07	525.6	2.759
38.08	533.1	2.758
38.09	535.2	2.770
38.10	539.2	2.759
38.11	543.2	2.739
38.12	544.2	2.725
38.13	542.0	2.727
38.14	543.0	2.708
38.15	544.1	2.693
38.16	541.8	2.695
38.17	534.2	2.728
38.18	527.6	2.758
38.19	535.6	2.731
38.20	570.0	2.606
38.21	626.1	2.445
38.22	684.3	2.310
38.23	718.7	2.259
38.29	673.6	1.694
38.30	692.8	1.857
38.31	666.3	2.056
38.32	634.3	2.187
38.33	622.8	2.203
38.34	612.8	2.194
38.35	587.1	2.234
38.36	560.4	2.283
38.37	536.1	2.321
38.38	516.5	2.340
38.39	495.0	2.376
38.40	470.0	2.444
38.41	439.7	2.566
38.42	412.8	2.703
38.43	392.2	2.832
38.44	371.0	2.994
38.45	345.2	3.232
38.46	324.1	3.466
38.47	307.9	3.665
38.48	294.6	3.839
38.49	279.8	4.033
38.50	262.1	4.286
38.51	244.5	4.585
38.52	232.9	4.802
38.53	234.0	4.770
38.54	248.2	4.497
38.55	261.8	4.281
38.56	259.4	4.341
38.57	247.0	4.569
38.58	241.5	4.672
38.59	246.7	4.594
38.60	255.2	4.490
38.61	270.8	4.307
38.62	289.8	4.120
38.63	307.0	3.986
38.64	320.0	3.920
38.65	327.8	3.903
38.66	340.8	3.813
38.67	352.4	3.722
38.68	348.1	3.798
38.69	328.5	4.024
38.70	310.9	4.244
38.71	332.4	3.962
38.72	366.3	3.602
38.73	383.4	3.454
38.74	376.8	3.515
38.75	339.6	3.871
38.76	293.8	4.415
38.77	267.5	4.783
38.78	253.9	4.989
38.79	250.7	5.022
38.80	254.0	4.956
38.81	267.0	4.734
38.82	274.7	4.620
38.83	265.7	4.786
38.84	248.3	5.132
38.85	244.8	5.205
38.86	247.3	5.162
38.87	256.1	5.005
38.88	258.9	4.951
38.89	257.8	4.963
38.90	255.3	4.980
38.91	256.6	4.917
38.92	261.7	4.792
38.93	266.2	4.692
38.94	268.7	4.639
38.95	273.5	4.558
38.96	276.6	4.507
38.97	276.8	4.504
38.98	277.4	4.494
38.99	276.9	4.493
39.00	272.1	4.544
39.01	263.8	4.640
39.02	251.7	4.783
39.03	243.9	4.844
39.04	235.7	4.906
39.05	225.6	5.001
39.06	214.5	5.144
39.07	202.6	5.310
39.08	193.0	5.431
39.09	187.1	5.481
39.10	184.9	5.450
39.11	188.7	5.287
39.12	193.5	5.156
39.13	195.2	5.137
39.14	195.5	5.154
39.15	198.9	5.092
39.16	204.1	4.988
39.17	208.2	4.914
39.18	212.2	4.856
39.19	217.0	4.783
39.20	217.8	4.801
39.21	218.6	4.805
39.22	226.5	4.671
39.23	234.9	4.546
39.24	238.0	4.541
39.25	239.9	4.547
39.26	244.2	4.508
39.27	256.1	4.348
39.28	268.2	4.217
39.29	276.9	4.148
39.30	285.4	4.104
39.31	297.2	4.001
39.32	304.8	3.966
39.33	307.5	3.980
39.34	308.3	4.002
39.35	306.8	4.039
39.36	303.2	4.096
39.37	300.6	4.130
39.38	303.9	4.077
39.39	308.8	4.021
39.40	311.3	3.989
39.41	312.7	3.978
39.42	314.4	3.957
39.43	315.8	3.932
39.44	317.3	3.913
39.45	321.9	3.865
39.46	329.8	3.788
39.47	339.3	3.711
39.48	348.4	3.636
39.49	347.9	3.670
39.50	341.0	3.766
39.51	344.5	3.750
39.52	367.3	3.565
39.53	402.3	3.324
39.54	435.9	3.154
