ID;Niveau principal;Sous-niveau;Entité;Symbole ou formule;Type d'entrée;Statut;Composition ou description;Architecture ou état;Réservoirs typiques;Stabilité ou durée;Accessibilité;Mobilisabilité;Source URL;type_registre
MAT-00141;Atomes et éléments;Lanthanide;Dysprosium;Dy;Entité;Confirmé officiellement;Numéro atomique 66, masse atomique indicative 162.5;Période 6, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00142;Atomes et éléments;Lanthanide;Holmium;Ho;Entité;Confirmé officiellement;Numéro atomique 67, masse atomique indicative 164.93;Période 6, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00143;Atomes et éléments;Lanthanide;Erbium;Er;Entité;Confirmé officiellement;Numéro atomique 68, masse atomique indicative 167.26;Période 6, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00144;Atomes et éléments;Lanthanide;Thulium;Tm;Entité;Confirmé officiellement;Numéro atomique 69, masse atomique indicative 168.934;Période 6, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00145;Atomes et éléments;Lanthanide;Ytterbium;Yb;Entité;Confirmé officiellement;Numéro atomique 70, masse atomique indicative 173.04;Période 6, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00146;Atomes et éléments;Lanthanide;Lutetium;Lu;Entité;Confirmé officiellement;Numéro atomique 71, masse atomique indicative 174.967;Période 6, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00147;Atomes et éléments;Métal de transition;Hafnium;Hf;Entité;Confirmé officiellement;Numéro atomique 72, masse atomique indicative 178.49;Période 6, groupe 4, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00148;Atomes et éléments;Métal de transition;Tantalum;Ta;Entité;Confirmé officiellement;Numéro atomique 73, masse atomique indicative 180.948;Période 6, groupe 5, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00149;Atomes et éléments;Métal de transition;Tungsten;W;Entité;Confirmé officiellement;Numéro atomique 74, masse atomique indicative 183.84;Période 6, groupe 6, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00150;Atomes et éléments;Métal de transition;Rhenium;Re;Entité;Confirmé officiellement;Numéro atomique 75, masse atomique indicative 186.207;Période 6, groupe 7, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00151;Atomes et éléments;Métal de transition;Osmium;Os;Entité;Confirmé officiellement;Numéro atomique 76, masse atomique indicative 190.23;Période 6, groupe 8, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00152;Atomes et éléments;Métal de transition;Iridium;Ir;Entité;Confirmé officiellement;Numéro atomique 77, masse atomique indicative 192.217;Période 6, groupe 9, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00153;Atomes et éléments;Métal de transition;Platinum;Pt;Entité;Confirmé officiellement;Numéro atomique 78, masse atomique indicative 195.078;Période 6, groupe 10, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00154;Atomes et éléments;Métal de transition;Gold;Au;Entité;Confirmé officiellement;Numéro atomique 79, masse atomique indicative 196.967;Période 6, groupe 11, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00155;Atomes et éléments;Métal de transition;Mercury;Hg;Entité;Confirmé officiellement;Numéro atomique 80, masse atomique indicative 200.59;Période 6, groupe 12, état de référence Liquide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00156;Atomes et éléments;Métal post-transition;Thallium;Tl;Entité;Confirmé officiellement;Numéro atomique 81, masse atomique indicative 204.383;Période 6, groupe 13, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00157;Atomes et éléments;Métal post-transition;Lead;Pb;Entité;Confirmé officiellement;Numéro atomique 82, masse atomique indicative 207.2;Période 6, groupe 14, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00158;Atomes et éléments;Métal post-transition;Bismuth;Bi;Entité;Confirmé officiellement;Numéro atomique 83, masse atomique indicative 208.98;Période 6, groupe 15, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00159;Atomes et éléments;Métal post-transition;Polonium;Po;Entité;Confirmé officiellement;Numéro atomique 84, masse atomique indicative 209.0;Période 6, groupe 16, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00160;Atomes et éléments;Halogène;Astatine;At;Entité;Confirmé officiellement;Numéro atomique 85, masse atomique indicative 210.0;Période 6, groupe 17, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00161;Atomes et éléments;Gaz noble;Radon;Rn;Entité;Confirmé officiellement;Numéro atomique 86, masse atomique indicative 222.0;Période 6, groupe 18, état de référence Gaz;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00162;Atomes et éléments;Métal alcalin;Francium;Fr;Entité;Confirmé officiellement;Numéro atomique 87, masse atomique indicative 223.0;Période 7, groupe 1, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00163;Atomes et éléments;Métal alcalino-terreux;Radium;Ra;Entité;Confirmé officiellement;Numéro atomique 88, masse atomique indicative 226.0;Période 7, groupe 2, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00164;Atomes et éléments;Actinide;Actinium;Ac;Entité;Confirmé officiellement;Numéro atomique 89, masse atomique indicative 227.0;Période 7, groupe 3, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00165;Atomes et éléments;Actinide;Thorium;Th;Entité;Confirmé officiellement;Numéro atomique 90, masse atomique indicative 232.038;Période 7, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00166;Atomes et éléments;Actinide;Protactinium;Pa;Entité;Confirmé officiellement;Numéro atomique 91, masse atomique indicative 231.036;Période 7, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00167;Atomes et éléments;Actinide;Uranium;U;Entité;Confirmé officiellement;Numéro atomique 92, masse atomique indicative 238.029;Période 7, groupe Bloc f, état de référence Solide;Naturel, stable, primordial ou trace;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00168;Atomes et éléments;Actinide;Neptunium;Np;Entité;Confirmé officiellement;Numéro atomique 93, masse atomique indicative 237.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Naturel en traces, surtout synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00169;Atomes et éléments;Actinide;Plutonium;Pu;Entité;Confirmé officiellement;Numéro atomique 94, masse atomique indicative 244.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Naturel en traces, surtout synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00170;Atomes et éléments;Actinide;Americium;Am;Entité;Confirmé officiellement;Numéro atomique 95, masse atomique indicative 243.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00171;Atomes et éléments;Actinide;Curium;Cm;Entité;Confirmé officiellement;Numéro atomique 96, masse atomique indicative 247.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00172;Atomes et éléments;Actinide;Berkelium;Bk;Entité;Confirmé officiellement;Numéro atomique 97, masse atomique indicative 247.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00173;Atomes et éléments;Actinide;Californium;Cf;Entité;Confirmé officiellement;Numéro atomique 98, masse atomique indicative 251.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00174;Atomes et éléments;Actinide;Einsteinium;Es;Entité;Confirmé officiellement;Numéro atomique 99, masse atomique indicative 252.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00175;Atomes et éléments;Actinide;Fermium;Fm;Entité;Confirmé officiellement;Numéro atomique 100, masse atomique indicative 257.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00176;Atomes et éléments;Actinide;Mendelevium;Md;Entité;Confirmé officiellement;Numéro atomique 101, masse atomique indicative 258.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00177;Atomes et éléments;Actinide;Nobelium;No;Entité;Confirmé officiellement;Numéro atomique 102, masse atomique indicative 259.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00178;Atomes et éléments;Actinide;Lawrencium;Lr;Entité;Confirmé officiellement;Numéro atomique 103, masse atomique indicative 262.0;Période 7, groupe Bloc f, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00179;Atomes et éléments;Métal de transition;Rutherfordium;Rf;Entité;Confirmé officiellement;Numéro atomique 104, masse atomique indicative 267.0;Période 7, groupe 4, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00180;Atomes et éléments;Métal de transition;Dubnium;Db;Entité;Confirmé officiellement;Numéro atomique 105, masse atomique indicative 268.0;Période 7, groupe 5, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00181;Atomes et éléments;Métal de transition;Seaborgium;Sg;Entité;Confirmé officiellement;Numéro atomique 106, masse atomique indicative 269.0;Période 7, groupe 6, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00182;Atomes et éléments;Métal de transition;Bohrium;Bh;Entité;Confirmé officiellement;Numéro atomique 107, masse atomique indicative 270.0;Période 7, groupe 7, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00183;Atomes et éléments;Métal de transition;Hassium;Hs;Entité;Confirmé officiellement;Numéro atomique 108, masse atomique indicative 269.0;Période 7, groupe 8, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00184;Atomes et éléments;Métal de transition;Meitnerium;Mt;Entité;Confirmé officiellement;Numéro atomique 109, masse atomique indicative 278.0;Période 7, groupe 9, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00185;Atomes et éléments;Métal de transition;Darmstadtium;Ds;Entité;Confirmé officiellement;Numéro atomique 110, masse atomique indicative 281.0;Période 7, groupe 10, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00186;Atomes et éléments;Métal de transition;Roentgenium;Rg;Entité;Confirmé officiellement;Numéro atomique 111, masse atomique indicative 281.0;Période 7, groupe 11, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00187;Atomes et éléments;Métal de transition;Copernicium;Cn;Entité;Confirmé officiellement;Numéro atomique 112, masse atomique indicative 285.0;Période 7, groupe 12, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00188;Atomes et éléments;Métal post-transition;Nihonium;Nh;Entité;Confirmé officiellement;Numéro atomique 113, masse atomique indicative 284.0;Période 7, groupe 13, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00189;Atomes et éléments;Métal post-transition;Flerovium;Fl;Entité;Confirmé officiellement;Numéro atomique 114, masse atomique indicative 289.0;Période 7, groupe 14, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00190;Atomes et éléments;Métal post-transition;Moscovium;Mc;Entité;Confirmé officiellement;Numéro atomique 115, masse atomique indicative 288.0;Période 7, groupe 15, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00191;Atomes et éléments;Métal post-transition;Livermorium;Lv;Entité;Confirmé officiellement;Numéro atomique 116, masse atomique indicative 293.0;Période 7, groupe 16, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00192;Atomes et éléments;Halogène;Tennessine;Ts;Entité;Confirmé officiellement;Numéro atomique 117, masse atomique indicative 292.0;Période 7, groupe 17, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00193;Atomes et éléments;Gaz noble;Oganesson;Og;Entité;Confirmé officiellement;Numéro atomique 118, masse atomique indicative 294.0;Période 7, groupe 18, état de référence Non établi macroscopiquement;Synthétique;Dépend des isotopes;Variable selon réservoir et forme chimique;Non quantifié;https://iupac.org/what-we-do/periodic-table-of-elements/;ENT
MAT-00194;Molécules et assemblages chimiques;Molécule simple;Hydrogène moléculaire;H2;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Gaz moléculaire;Milieu interstellaire, étoiles froides, planètes géantes;Molécule la plus abondante de la matière moléculaire cosmique;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00195;Molécules et assemblages chimiques;Molécule simple;Monoxyde de carbone;CO;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Gaz;Nuages moléculaires, atmosphères, comètes;Traceur majeur du gaz moléculaire;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00196;Molécules et assemblages chimiques;Molécule simple;Azote moléculaire;N2;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Gaz;Atmosphères planétaires, glaces, comètes;Molécule homonucléaire;Variable selon milieu et concentration;Non quantifié;https://pubchem.ncbi.nlm.nih.gov/docs/compounds;ENT
MAT-00197;Molécules et assemblages chimiques;Molécule simple;Oxygène moléculaire;O2;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Gaz;Atmosphères, biosphères, quelques milieux interstellaires;Oxydant biologique et géochimique;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00198;Molécules et assemblages chimiques;Hydrure;Eau;H2O;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 3;Gaz, liquide, glaces multiples;Nuages, comètes, planètes, organismes;Molécule structurante de nombreux systèmes;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00199;Molécules et assemblages chimiques;Hydrure;Ammoniac;NH3;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 4;Gaz, liquide, glace;Nuages, planètes géantes, glaces, biologie;Base et réservoir d'azote;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00200;Molécules et assemblages chimiques;Hydrure;Méthane;CH4;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 5;Gaz, liquide, glace;Atmosphères, lacs de Titan, nuages, organismes;Hydrocarbure simple;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00201;Molécules et assemblages chimiques;Oxyde;Dioxyde de carbone;CO2;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 3;Gaz, liquide supercritique, glace;Atmosphères, glaces, volcans, biologie;Réservoir de carbone oxydé;Variable selon milieu et concentration;Non quantifié;https://pubchem.ncbi.nlm.nih.gov/docs/compounds;ENT
MAT-00202;Molécules et assemblages chimiques;Oxyde;Monoxyde de silicium;SiO;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Gaz;Enveloppes stellaires, chocs, poussières en formation;Traceur de chocs astrophysiques;Variable selon milieu et concentration;Non quantifié;https://pubchem.ncbi.nlm.nih.gov/docs/compounds;ENT
MAT-00203;Molécules et assemblages chimiques;Oxyde;Dioxyde de soufre;SO2;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 3;Gaz, liquide, glace;Volcanisme, atmosphères, milieu interstellaire;Molécule soufrée oxydée;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00204;Molécules et assemblages chimiques;Radical;Hydroxyle;OH;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Radical;Milieu interstellaire, atmosphères, combustion;Radical très réactif;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00205;Molécules et assemblages chimiques;Radical;Méthylidyne;CH;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Radical;Milieu interstellaire diffus;Parmi les premières molécules détectées dans l'espace;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00206;Molécules et assemblages chimiques;Ion moléculaire;Hydrogène moléculaire ionisé;H2+;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 2;Ion;Plasmas, chimie interstellaire;Précurseur de H3+;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00207;Molécules et assemblages chimiques;Ion moléculaire;Trihydrogène cation;H3+;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 3;Ion;Nuages interstellaires, atmosphères géantes;Ion central de l'astrochimie;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00208;Molécules et assemblages chimiques;Ion moléculaire;Formyle cation;HCO+;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 3;Ion;Nuages moléculaires;Traceur dense du gaz;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00209;Molécules et assemblages chimiques;Nitrile;Cyanure d'hydrogène;HCN;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 3;Gaz, liquide;Nuages, comètes, atmosphères, chimie prébiotique;Nitrile simple;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00210;Molécules et assemblages chimiques;Isomère;Isocyanure d'hydrogène;HNC;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 3;Gaz;Nuages froids;Isomère de HCN;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00211;Molécules et assemblages chimiques;Carbonyle;Formaldéhyde;H2CO;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 4;Gaz, solution, polymères;Nuages, comètes, biologie, industrie;Intermédiaire chimique important;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00212;Molécules et assemblages chimiques;Alcool;Méthanol;CH3OH;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 6;Liquide, glace, gaz;Nuages, glaces, comètes, industrie;Molécule organique interstellaire abondante;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00213;Molécules et assemblages chimiques;Alcool;Éthanol;C2H5OH;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 9;Liquide, gaz;Milieu interstellaire, fermentation, industrie;Alcool biologique et industriel;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00214;Molécules et assemblages chimiques;Aldéhyde;Acétaldéhyde;CH3CHO;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 7;Liquide, gaz;Nuages, biologie, industrie;Aldéhyde organique;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00215;Molécules et assemblages chimiques;Aldéhyde;Lactaldéhyde;C3H6O2;Entité ou catalogue;Détection rapportée en 2026;Nombre d'atomes ou taille: 11;Molécule organique;Milieu interstellaire;Aldéhyde hydroxylé;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00216;Molécules et assemblages chimiques;Cétose;Érythrulose;C4H8O4;Entité ou catalogue;Détection rapportée en juillet 2026;Nombre d'atomes ou taille: 16;Molécule organique;Milieu interstellaire;Sucre chiral à quatre carbones;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00217;Molécules et assemblages chimiques;Acide carboxylique;Acide formique;HCOOH;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 5;Liquide, gaz, glace;Nuages, comètes, biologie;Acide organique simple;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00218;Molécules et assemblages chimiques;Acide carboxylique;Acide acétique;CH3COOH;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 8;Liquide, gaz;Milieu interstellaire, biologie, industrie;Acide carboxylique;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00219;Molécules et assemblages chimiques;Amide;Formamide;NH2CHO;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 6;Liquide, gaz;Nuages, comètes, chimie prébiotique;Molécule prébiotique importante;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00220;Molécules et assemblages chimiques;Amide;Urée;CO(NH2)2;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 8;Solide;Milieu interstellaire, organismes, industrie;Amide biologique;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00221;Molécules et assemblages chimiques;Éther;Diméthyléther;CH3OCH3;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 9;Gaz, liquide;Nuages moléculaires, industrie;Éther interstellaire abondant;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00222;Molécules et assemblages chimiques;Ester;Formiate de méthyle;HCOOCH3;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 8;Liquide, gaz;Nuages chauds, industrie;Ester organique;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00223;Molécules et assemblages chimiques;Nitrile;Acétonitrile;CH3CN;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 6;Liquide, gaz;Nuages, laboratoires, industrie;Nitrile organique;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00224;Molécules et assemblages chimiques;Nitrile;Benzonitrile;C6H5CN;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 13;Liquide, gaz;Nuages froids, industrie;Molécule aromatique détectée dans l'espace;Variable selon milieu et concentration;Non quantifié;https://molecules-in.space/;ENT
MAT-00225;Molécules et assemblages chimiques;Hydrocarbure;Acétylène;C2H2;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 4;Gaz;Atmosphères, enveloppes stellaires, combustion;Hydrocarbure insaturé;Variable selon milieu et concentration;Non quantifié;https://pubchem.ncbi.nlm.nih.gov/docs/compounds;ENT
MAT-00226;Molécules et assemblages chimiques;Hydrocarbure;Éthylène;C2H4;Entité ou catalogue;Confirmé;Nombre d'atomes ou taille: 6;Gaz;Atmosphères, biologie végétale, industrie;Alcène simple;Variable selon milieu et concentration;Non quantifié;https://pubchem.ncbi.nlm.nih.gov/docs/compounds;ENT
